		Eigen teksten van de heiligen											
	Basisboek en plaatselijke heiligen												
	maand	dag	code_eigen	naam	gebed	morg. ant.	avnd. ant						
	11	22	502	H. Cecilia									
	11	23	503	H. Clemens I									
	11	23	504	H. Columbanus									
	11	24	506	HH. Andreas Dung-Lac en gezellen									
	11	25	556	H. Catharina van Alexandrië									
	11	27	570	's-Hertogenbosch: H. Oda									
	11	28	559	Roermond: Z. Maria Helena Stollenwerk									
	11	30	512	H. Andreas									
dec.	12	1	514	Breda: H. Eligius									
	12	3	516	H. Franciscus Xaverius									
	12	4	517	H. Johannes van Damascus									
	12	6	518	H. Nicolaas									
	12	7	519	H. Ambrosius									
	12	8	520	Onbevlekte Ontvangenis v/d H. Maria									
	12	9	557	H. Juan Diego Cuauhtlatoatzin									
	12	10	581	H. Maria van Loreto									
	12	11	522	H. Damasus I									
	12	12	558	H. Maria van Guadalupe									
	12	12	528	Breda: Verjaardag wijding bisschopskerk									
	12	13	524	H. Lucia									
	12	14	525	H. Johannes van het Kruis									
	12	21	529	Buiten Nederland: H. Petrus Canisius									
	12	23	530	H. Johannes van Kenty									
	12	29	534	H. Thomas Becket									
	12	31	535	H. Silvester I									
xx	X	12	536	Haarlem: Mirakel v/h H. Sacrament te Amsterdam									
xx	X	14	538	Haarlem: O.L. Vrouw ter Nood									
													
													
													
